"lon","lat","unc"
-97.734198,30.496318,7
-117.764439,33.781814,NA
-110.729392,32.240403,9
-117.567228,33.560172,NA
-111.114929,33.284498,NA
-121.815055,37.513163,14
-96.845089,33.050442,NA
-99.713408,32.461333,8
-118.326478,33.7711,16
-96.845036,33.050466,6
-117.765847,33.781728,NA
-98.564134,29.574424,4
-118.706803,34.049389,4
-118.51352,34.05515,5
-110.899268,32.273183,8
-110.724411,32.204247,3
-118.077415,33.773237,37
-117.149801,32.947431,4
-118.325974,34.129796,3
-117.231514,32.907933,530
-116.751717,32.791378,13
-117.523327,34.173762,3
-117.44372,34.039134,5
-98.565546,29.612489,NA
-116.71919,33.134262,NA
-96.854363,33.045561,NA
-118.759208,34.150161,3
-117.204667,33.106522,23
-98.143577,31.694173,3
-117.10749,32.837468,70
-119.262505,34.246742,4
-110.811596,32.243738,NA
-116.658988,33.992092,NA
-97.972053,30.36573,9
-112.380958,33.382808,54
-117.60329,33.666696,189
-116.717991,32.780999,3
-98.578639,29.55332,4
-118.201282,34.099443,3
-96.847583,33.048839,NA
-99.474437,30.766383,10
-98.855931,30.295244,11
-122.126503,37.73028,18
-98.316199,29.636729,6
-117.523347,34.173738,2
-117.124667,33.0839,NA
-117.079666,33.560429,1
-117.124655,33.0839,2
-117.793175,33.803707,3
-118.450465,32.88559,938
-117.148175,32.720719,NA
-117.142505,32.880877,4
-118.758212,34.149936,3
-117.222337,33.086947,8
-117.176517,32.799607,8
-116.895858,32.821678,5
-111.815016,33.876523,252
-117.169375,33.065383,NA
-117.05465,32.8189,4
-117.156157,33.075846,2
-116.855416,32.829983,16
-117.043919,32.789727,218
-117.844113,33.639304,4
-120.278945,34.62308,3
-117.738967,33.772263,80
-119.000627,34.169827,NA
-116.843187,33.68838,5
-117.248667,32.875461,NA
-118.611677,34.27404,4
-118.148675,34.206517,3
-117.052705,32.817914,5
-98.335717,29.681728,3
-120.278972,34.623058,NA
-117.235117,32.999645,4
-117.246922,32.87581,6
-117.036882,32.927744,73
-98.410195,29.232745,6
-117.092239,32.89583,72
-117.229143,32.752964,4
-116.566055,32.848933,4
-117.058396,32.820652,331
-119.843315,35.126415,14
-116.569269,32.87399,NA
-97.794986,30.610232,6
-116.936956,33.01963,27
-117.078888,32.823002,NA
-97.522775,30.285572,2
-117.055667,32.819111,NA
-117.140011,33.580958,NA
-118.511375,34.086681,7
-117.155446,33.076268,4
-122.085769,37.29178,4
-97.46692,31.198105,3
-117.159095,34.022793,4
-118.498086,34.365465,NA
-97.837195,30.092982,43
-118.052444,33.70417,7
-117.273647,33.004822,NA
-117.077942,32.542345,2
-97.927375,29.321845,6
-98.023693,30.507195,5
-97.852548,30.095614,39
-117.010613,32.817848,NA
-117.011017,32.819805,NA
-117.020476,32.815257,5
-98.614075,29.583103,9
-97.810689,30.143462,1
-117.28727,33.170065,6
-110.988418,32.455141,6
-117.182276,33.155685,5
-97.780345,30.339602,9
-117.153886,33.573742,NA
-117.255356,33.228633,8
-121.211473,36.498657,24
-117.73916,33.77196,17
-118.810474,34.039544,NA
-117.224363,33.089283,25
-111.308587,33.8665,10
-116.951892,33.027025,NA
-117.155856,33.875865,4
-98.57405,29.621603,4
-119.24823,34.203203,4
-97.77738,30.504112,17
-117.167315,32.951199,4
-116.997158,32.843925,8
-117.058396,32.820652,331
-117.949698,33.650096,535
-99.115138,30.009931,4
-116.914676,32.772418,7
-118.02227,34.198029,7
-117.248641,32.875451,4
-118.193195,34.145751,NA
-117.056122,34.047439,14
-116.989783,33.09847,3
-116.566612,32.849022,6
-117.117617,32.930838,6
-117.094627,34.046227,8
-117.828722,34.058842,10
-117.078253,32.823254,126
-121.211622,36.49857,4
-117.230208,32.796011,5
-97.859279,30.648124,4
